run_name,epoch,num_episodes,avg_return,best_return,worst_return,avg_length,max_length,avg_return_ma_5,avg_length_ma_5
run_0,0,10,-51.808220500000004,-21.699707,-71.224258,300.0,300,-51.808220500000004,300.0
run_1,1,10,-91.23402569999999,-78.573458,-98.955076,300.0,300,-71.5211231,300.0
run_2,2,10,-99.18003609999998,-87.047861,-105.642615,300.0,300,-80.74076076666665,300.0
run_3,3,10,-88.4336704,-79.583623,-96.562004,300.0,300,-82.66398817499999,300.0
run_4,4,10,-86.74776539999999,-79.375611,-98.873072,300.0,300,-83.48074362,300.0
run_5,5,10,-79.1235508,-65.570257,-99.310863,300.0,300,-88.94380967999999,300.0
run_6,6,10,-37.8456125,3.689641,-52.937533,300.0,300,-78.26612703999999,300.0
run_7,7,10,-25.657351700000003,49.826283,-60.42851,300.0,300,-63.56159016,300.0
run_8,8,10,-57.737226799999995,-48.781134,-63.55433,300.0,300,-57.42230144,300.0
run_9,9,10,-68.32920650000001,-52.281253,-78.028673,300.0,300,-53.73858966,300.0
run_10,10,10,-52.789866,-42.819601,-68.659255,300.0,300,-48.4718527,300.0
run_11,11,10,-49.28475099999999,-41.510631,-53.673296,300.0,300,-50.75968039999999,300.0
run_12,12,10,-58.5245238,-46.609379,-65.603404,300.0,300,-57.333114820000006,300.0
run_13,13,10,-49.631706300000005,-41.350181,-59.543579,300.0,300,-55.71201072,300.0
run_14,14,10,-62.837053600000004,-51.661644,-73.737895,300.0,300,-54.613580139999996,300.0
run_15,15,10,-64.4478519,-56.183251,-72.873977,300.0,300,-56.94517731999999,300.0
run_16,16,10,-43.55334440000001,-37.761245,-47.696195,300.0,300,-55.798896,300.0
run_17,17,10,-48.17831820000001,-40.261127,-54.407111,300.0,300,-53.72965488000001,300.0
run_18,18,10,-43.3390018,-33.093871,-50.320592,300.0,300,-52.471113980000005,300.0
run_19,19,10,-47.08195260000001,-37.153571,-51.534994,300.0,300,-49.32009378000001,300.0
run_20,20,10,-48.463787499999995,-36.602698,-60.49354,300.0,300,-46.123280900000005,300.0
run_21,21,10,-42.0144008,-34.066538,-48.756051,300.0,300,-45.81549218,300.0
run_22,22,10,-41.966906200000004,15.733477,-55.42961,300.0,300,-44.57320978,300.0
run_23,23,10,-48.229878199999995,-2.927674,-61.924401,300.0,300,-45.551385059999994,300.0
run_24,24,10,-46.3487694,-39.69157,-55.664385,300.0,300,-45.40474842,300.0
run_25,25,10,-35.4788279,8.430619,-56.508504,300.0,300,-42.807756499999996,300.0
run_26,26,10,-47.18522049999999,-25.162076,-54.973598,300.0,300,-43.841920439999996,300.0
run_27,27,10,-49.259065199999995,-42.463047,-55.383238,300.0,300,-45.300352239999995,300.0
run_28,28,10,-46.76676259999999,-38.502784,-52.868708,300.0,300,-45.00772912,300.0
run_29,29,10,-49.82125169999999,-41.944285,-54.980919,300.0,300,-45.70222557999999,300.0
run_30,30,10,-50.3733066,-45.443061,-52.692657,300.0,300,-48.681121319999995,300.0
run_31,31,10,-46.637494600000004,-41.722655,-54.843064,300.0,300,-48.57157614,300.0
run_32,32,10,-54.061224300000006,-49.485797,-59.04536,300.0,300,-49.53200796,300.0
run_33,33,10,-47.2568052,-41.255326,-56.587784,300.0,300,-49.63001648,300.0
run_34,34,10,-52.926221899999994,-45.009638,-60.628513,300.0,300,-50.25101052,300.0
run_35,35,10,-48.070318199999996,-36.633446,-57.329544,300.0,300,-49.79041284,300.0
run_36,36,10,-45.807782599999996,-35.339448,-57.817788,300.0,300,-49.624470439999996,300.0
run_37,37,10,-51.1933301,-43.395541,-58.701485,300.0,300,-49.05089159999999,300.0
run_38,38,10,-61.1272511,-55.742194,-68.245531,300.0,300,-51.82498078,300.0
run_39,39,10,-46.7525296,-39.311285,-55.589839,300.0,300,-50.59024232,300.0
