run_name,epoch,num_episodes,avg_return,best_return,worst_return,avg_length,max_length,avg_return_ma_5,avg_length_ma_5
run_0,0,10,-56.2863096,-40.316264,-88.875275,300.0,300,-56.2863096,300.0
run_1,1,10,-98.0405552,-89.968693,-107.059217,300.0,300,-77.1634324,300.0
run_2,2,10,-69.2908337,-48.450704,-97.836315,300.0,300,-74.53923283333334,300.0
run_3,3,10,-62.9547235,-51.827078,-69.214348,300.0,300,-71.6431055,300.0
run_4,4,10,-53.512463600000004,-40.923106,-60.783209,300.0,300,-68.01697712,300.0
run_5,5,10,-132.35644200000002,-127.550108,-138.911307,300.0,300,-83.23100360000001,300.0
run_6,6,10,-66.36580649999999,-56.694637,-79.246793,300.0,300,-76.89605386000001,300.0
run_7,7,10,-84.3439907,-68.593284,-112.700411,300.0,300,-79.90668525999999,300.0
run_8,8,10,-62.30236649999999,-50.615897,-70.430584,300.0,300,-79.77621386,300.0
run_9,9,10,47.2666627,54.914875,35.245302,300.0,300,-59.6203886,300.0
run_10,10,10,42.009636400000005,61.241076,29.329357,289.9,300,-24.747172919999997,297.98
run_11,11,10,15.591583,57.332841,-30.524729,298.9,300,-8.355695019999999,297.76
run_12,12,10,36.5888827,76.888139,0.192591,247.2,300,15.830879660000003,287.2
run_13,13,10,46.127933999999996,69.720281,36.759064,286.1,300,37.51693976,284.41999999999996
run_14,14,10,26.882539299999998,30.59864,21.844511,300.0,300,33.440115080000005,284.41999999999996
